celsius,fahrenheit
-50,-58.0
-49,-56.2
-48,-54.400000000000006
-47,-52.60000000000001
-46,-50.8
-45,-49.0
-44,-47.2
-43,-45.400000000000006
-42,-43.60000000000001
-41,-41.8
-40,-40.0
-39,-38.2
-38,-36.400000000000006
-37,-34.60000000000001
-36,-32.8
-35,-31.0
-34,-29.200000000000003
-33,-27.4
-32,-25.6
-31,-23.800000000000004
-30,-22.0
-29,-20.200000000000003
-28,-18.4
-27,-16.6
-26,-14.800000000000004
-25,-13.0
-24,-11.200000000000003
-23,-9.399999999999999
-22,-7.600000000000001
-21,-5.800000000000004
-20,-4.0
-19,-2.200000000000003
-18,-0.3999999999999986
-17,1.3999999999999986
-16,3.1999999999999993
-15,5.0
-14,6.800000000000001
-13,8.599999999999998
-12,10.399999999999999
-11,12.2
-10,14.0
-9,15.8
-8,17.6
-7,19.4
-6,21.2
-5,23.0
-4,24.8
-3,26.6
-2,28.4
-1,30.2
0,32.0
1,33.8
2,35.6
3,37.4
4,39.2
5,41.0
6,42.8
7,44.6
8,46.4
9,48.2
10,50.0
11,51.8
12,53.6
13,55.400000000000006
14,57.2
15,59.0
16,60.8
17,62.6
18,64.4
19,66.2
20,68.0
21,69.80000000000001
22,71.6
23,73.4
24,75.2
25,77.0
26,78.80000000000001
27,80.6
28,82.4
29,84.2
30,86.0
31,87.80000000000001
32,89.6
33,91.4
34,93.2
35,95.0
36,96.8
37,98.60000000000001
38,100.4
39,102.2
40,104.0
41,105.8
42,107.60000000000001
43,109.4
44,111.2
45,113.0
46,114.8
47,116.60000000000001
48,118.4
49,120.2
50,122.0
